No,Player,Team,Apps,Min,G,A,xG,xA,xG90,NPxG90,xA90
1,Erling Haaland,Manchester City,3,270,7,0,3.78-3.22,0.41+0.41,1.26,1,0.14
2,Mohamed Salah,Liverpool,3,265,3,3,2.05-0.95,1.65-1.35,0.7,0.7,0.56
3,Bryan Mbeumo,Brentford,3,270,3,0,0.92-2.08,1.49+1.49,0.31,0.31,0.5
4,Luis Díaz,Liverpool,3,235,3,1,2.30-0.70,1.30+0.30,0.88,0.88,0.5
5,Noni Madueke,Chelsea,2,179,3,0,1.95-1.05,0.13+0.13,0.98,0.98,0.06
6,Son Heung-Min,Tottenham,3,270,2,0,0.85-1.15,0.64+0.64,0.28,0.28,0.21
7,Danny Welbeck,Brighton,3,259,2,1,1.40-0.60,0.26-0.74,0.49,0.49,0.09
8,Chris Wood,Nottingham Forest,3,250,2,0,2.06+0.06,0.62+0.62,0.74,0.74,0.22
9,Kai Havertz,Arsenal,3,270,2,1,1.99-0.01,0.75-0.25,0.66,0.66,0.25
10,Yoane Wissa,Brentford,3,252,2,1,2.43+0.43,0.36-0.64,0.87,0.87,0.13
11,João Pedro,Brighton,3,266,2,0,0.93-1.07,0.53+0.53,0.31,0.31,0.18
12,Amadou Onana,Aston Villa,3,236,2,0,1.36-0.64,0.05+0.05,0.52,0.52,0.02
13,Nicolas Jackson,Chelsea,3,240,2,1,2.35+0.35,0.35-0.65,0.88,0.88,0.13
14,Antoine Semenyo,Bournemouth,3,270,2,1,1.86-0.14,1.80+0.80,0.62,0.62,0.6
15,Jhon Durán,Aston Villa,3,71,2,0,1.25-0.75,0,1.58,1.58,0
16,Joelinton,Newcastle United,3,270,1,0,0.72-0.28,0.04+0.04,0.24,0.24,0.01
17,Kevin De Bruyne,Manchester City,3,270,1,1,0.91-0.09,1.82+0.82,0.3,0.3,0.61
18,Alex Iwobi,Fulham,3,269,1,0,0.44-0.56,0.18+0.18,0.15,0.15,0.06
19,Jamie Vardy,Leicester,3,245,1,0,0.85-0.15,0.03+0.03,0.31,0.31,0.01
20,Adama Traoré,Fulham,3,242,1,1,0.69-0.31,1.03+0.03,0.26,0.26,0.38
21,Michael Keane,Everton,3,270,1,0,0.49-0.51,0.12+0.12,0.16,0.16,0.04
22,Jarrod Bowen,West Ham,3,254,1,0,0.20-0.80,1.06+1.06,0.07,0.07,0.38
23,Lewis Cook,Bournemouth,3,270,1,0,0.48-0.52,0.58+0.58,0.16,0.16,0.19
24,Mateo Kovacic,Manchester City,3,235,1,0,0.09-0.91,0.05+0.05,0.03,0.03,0.02
25,Thomas Partey,Arsenal,3,270,1,0,0.13-0.87,0.20+0.20,0.04,0.04,0.07
26,Alexander Isak,Newcastle United,3,270,1,1,1.16+0.16,0.48-0.52,0.39,0.39,0.16
27,Dominic Calvert-Lewin,Everton,3,244,1,1,0.70-0.30,0.43-0.57,0.26,0.26,0.16
28,Yves Bissouma,Tottenham,2,163,1,0,0.06-0.94,0.10+0.10,0.03,0.03,0.06
29,Harvey Barnes,Newcastle United,3,111,1,1,0.53-0.47,0.83-0.17,0.43,0.43,0.67
30,Diogo Jota,Liverpool,3,235,1,1,1.87+0.87,0.76-0.24,0.71,0.71,0.29
31,Morgan Gibbs-White,Nottingham Forest,3,270,1,0,0.86-0.14,1.21+1.21,0.29,0.29,0.4
32,Pedro Porro,Tottenham,3,270,1,0,0.36-0.64,0.40+0.40,0.12,0.12,0.13
33,Matheus Cunha,Wolverhampton Wanderers,3,199,1,0,1.49+0.49,0.83+0.83,0.67,0.67,0.38
34,Cristian Romero,Tottenham,3,270,1,0,0.91-0.09,0.30+0.30,0.3,0.3,0.1
35,Emile Smith-Rowe,Fulham,3,212,1,0,0.55-0.45,0,0.23,0.23,0
36,Bukayo Saka,Arsenal,3,261,1,3,1.71+0.71,1.11-1.89,0.59,0.59,0.38
37,Lucas Paquetá,West Ham,3,257,1,0,0.87-0.13,0.08+0.08,0.31,0.04,0.03
38,Leandro Trossard,Arsenal,3,91,1,0,0.19-0.81,0.31+0.31,0.19,0.19,0.31
39,Jean-Ricner Bellegarde,Wolverhampton Wanderers,3,212,1,0,0.13-0.87,0,0.06,0.06,0
40,João Félix,Chelsea,2,42,1,0,0.25-0.75,0,0.53,0.53,0
41,Joshua Zirkzee,Manchester United,3,161,1,0,1.11+0.11,0.09+0.09,0.62,0.62,0.05
42,Amad Diallo Traore,Manchester United,3,168,1,0,0.38-0.62,0.40+0.40,0.2,0.2,0.21
43,Anthony Gordon,Newcastle United,3,254,1,0,0.53-0.47,0.91+0.91,0.19,0.19,0.32
44,Tomas Soucek,West Ham,3,179,1,0,2.10+1.10,0.17+0.17,1.06,1.06,0.09
45,Cole Palmer,Chelsea,3,270,1,4,0.53-0.47,2.58-1.42,0.18,0.18,0.86
46,Wout Faes,Leicester,3,270,1,0,0.63-0.37,0,0.21,0.21,0
47,Eberechi Eze,Crystal Palace,3,270,1,0,1.10+0.10,0.32+0.32,0.37,0.37,0.11
48,Liam Delap,Ipswich,3,246,1,0,0.40-0.60,0.18+0.18,0.15,0.15,0.07
49,Marcus Tavernier,Bournemouth,3,268,1,0,1.52+0.52,0.74+0.74,0.51,0.51,0.25
50,Kaoru Mitoma,Brighton,3,269,1,1,1.29+0.29,1.05+0.05,0.43,0.43,0.35
